"","GeneSymbol","DATE.ADDED.TO.CATALOG","PUBMEDID","FIRST.AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","REPLICATION.SAMPLE.SIZE","REGION","CHR_ID","CHR_POS","REPORTED.GENE.S.","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST.SNP.RISK.ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK.ALLELE.FREQUENCY","P.VALUE","PVALUE_MLOG","P.VALUE..TEXT.","OR.or.BETA","X95..CI..TEXT.","PLATFORM..SNPS.PASSING.QC.","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY.ACCESSION","GENOTYPING.TECHNOLOGY"
"96","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","1q31.2",1,191832003,"NR","LINC01680 - AL359081.1","ENSG00000233882","ENSG00000223344","",603536,26704,"rs11588454-T","rs11588454",0,11588454,"intergenic_variant",1,"0.75",3e-06,5.52287874528034,"(Males)",0.069,"[0.040-0.098] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"97","TCRA","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"14q11.2",14,22533736,"TCRA","TRAJ10 - TRAJ9","ENSG00000211879","ENSG00000211880","",176,1818,"rs1154155-G","rs1154155",0,1154155,"intergenic_variant",1,"0.148",9e-30,29.0457574905607,"",1.72,"[1.54-1.91]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"98","CTSH","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"15q25.1",15,78944951,"CTSH","CTSH","","","ENSG00000103811",NA,NA,"rs2289702-?","rs2289702",0,2289702,"missense_variant",0,"NR",1e-09,9,"",1.34,"[1.18-1.52]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"99","TNFSF4/OX40L","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"1q25.1",1,173162769,"TNFSF4/OX40L","GOT2P2 - AL022310.1","ENSG00000230849","ENSG00000226375","",20419,11531,"rs7553711-C","rs7553711",0,7553711,"regulatory_region_variant",1,"0.285",4e-08,7.39794000867204,"",1.33,"[1.21-1.46]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"100","ZNF365","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"10q21.2",10,62631615,"ZNF365","AC024598.1, AC067752.1, ZNF365","","","ENSG00000285837, ENSG00000285551, ENSG00000138311",NA,NA,"rs10995245-A","rs10995245",0,10995245,"intron_variant",0,"0.348",3e-07,6.52287874528034,"",1.2,"[1.09-1.31]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"101","MIR552","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"1p34.3",1,34692115,"MIR552, GJB5","MIR552 - SMIM12","ENSG00000207941","ENSG00000163866","",22421,20622,"rs10915020-A","rs10915020",0,10915020,"intergenic_variant",1,"0.084",5e-07,6.30102999566398,"",1.32,"[1.15-1.52]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"102","RP11-76N22.3","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"1p22.2",1,88507196,"RP11-76N22.3, PKN2","PKN2-AS1","","","ENSG00000237505",NA,NA,"rs306336-C","rs306336",0,306336,"intron_variant",0,"0.023",2e-06,5.69897000433602,"",1.65,"[1.30-2.09]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"103","IL10RB","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"21q22.11",21,33278486,"IL10RB","IL10RB, AP000295.1","","","ENSG00000243646, ENSG00000249624",NA,NA,"rs2834168-?","rs2834168",0,2834168,"intron_variant",0,"NR",5e-06,5.30102999566398,"",1.1363636,"[1.04-1.25]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"104","LMCD1/Dyxin","2018-04-25",23459209,"Faraco J","2013-01-01","PLoS Genet","www.ncbi.nlm.nih.gov/pubmed/23459209","ImmunoChip study implicates antigen presentation to T cells in narcolepsy.","Narcolepsy","1,886 European ancestry cases, 10,421 European ancestry controls",NA,"3p25.3",3,8565153,"LMCD1/Dyxin","LMCD1, LMCD1-AS1","","","ENSG00000071282, ENSG00000227110",NA,NA,"rs1027327-C","rs1027327",0,1027327,"intron_variant",0,"0.095",9e-06,5.04575749056067,"",1.36,"[1.19-1.56]","Illumina [111240]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST005522","Targeted genotyping array [ImmunoChip]"
"105","TRA-alpha","2009-05-07",19412176,"Hallmayer J","2009-05-03","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/19412176","Narcolepsy is strongly associated with the T-cell receptor alpha locus.","Narcolepsy","807 European ancestry cases, 1,074 European ancestry controls","363 European ancestry cases, 355 European ancestry  controls, 133 African American cases, 144 African American controls, 561 Asian ancestry cases, 605 Asian ancestry controls","14q11.2",14,22533736,"TRA-alpha, TRAJ10","TRAJ10 - TRAJ9","ENSG00000211879","ENSG00000211880","",176,1818,"rs1154155-C","rs1154155",0,1154155,"intergenic_variant",1,"0.14",3e-22,21.5228787452803,"",1.69,"[1.52-1.88]","Affymetrix [549596]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST000385","Genome-wide genotyping array"
"106","CCR1","2016-02-11",25986216,"Toyoda H","2015-05-15","Brain Behav Immun","www.ncbi.nlm.nih.gov/pubmed/25986216","A polymorphism in CCR1/CCR3 is associated with narcolepsy.","Narcolepsy with cataplexy","409 Japanese ancestry cases, 1,562 Japanese ancestry controls","240 Japanese ancestry cases, 869 Japanese ancestry controls","3p21.31",3,46209161,"CCR1, CCR3","CCR3","","","ENSG00000183625",NA,NA,"rs3181077-T","rs3181077",0,3181077,"intron_variant",0,"0.870",6e-06,5.22184874961636,"",1.63,"[1.32-2.02]","Affymetrix [525196]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002912","Genome-wide genotyping array"
"107","HIST1H2AC","2016-02-11",25986216,"Toyoda H","2015-05-15","Brain Behav Immun","www.ncbi.nlm.nih.gov/pubmed/25986216","A polymorphism in CCR1/CCR3 is associated with narcolepsy.","Narcolepsy with cataplexy","409 Japanese ancestry cases, 1,562 Japanese ancestry controls","240 Japanese ancestry cases, 869 Japanese ancestry controls","6p22.2",6,26128218,"HIST1H2AC","HIST1H2AC","","","ENSG00000180573",NA,NA,"rs198811-A","rs198811",0,198811,"intron_variant",0,"0.810",1e-08,8,"",1.69,"[1.41-2.03]","Affymetrix [525196]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002912","Genome-wide genotyping array"
"108","A1CF","2016-02-11",25986216,"Toyoda H","2015-05-15","Brain Behav Immun","www.ncbi.nlm.nih.gov/pubmed/25986216","A polymorphism in CCR1/CCR3 is associated with narcolepsy.","Narcolepsy with cataplexy","409 Japanese ancestry cases, 1,562 Japanese ancestry controls","240 Japanese ancestry cases, 869 Japanese ancestry controls","10q11.23",10,50890011,"A1CF","A1CF - CCDC58P2","ENSG00000148584","ENSG00000236944","",4336,72982,"rs4290173-C","rs4290173",0,4290173,"intergenic_variant",1,"0.902",5e-06,5.30102999566398,"",1.8,"[1.4-2.32]","Affymetrix [525196]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002912","Genome-wide genotyping array"
"109","TCRA","2016-02-11",25986216,"Toyoda H","2015-05-15","Brain Behav Immun","www.ncbi.nlm.nih.gov/pubmed/25986216","A polymorphism in CCR1/CCR3 is associated with narcolepsy.","Narcolepsy with cataplexy","409 Japanese ancestry cases, 1,562 Japanese ancestry controls","240 Japanese ancestry cases, 869 Japanese ancestry controls","14q11.2",14,22533736,"TCRA","TRAJ10 - TRAJ9","ENSG00000211879","ENSG00000211880","",176,1818,"rs1154155-C","rs1154155",0,1154155,"intergenic_variant",1,"0.431",1e-11,11,"",1.71,"[NR]","Affymetrix [525196]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST002912","Genome-wide genotyping array"
"110","CRAT","2019-02-20",30266950,"Miyagawa T","2018-09-28","J Hum Genet","www.ncbi.nlm.nih.gov/pubmed/30266950","A variant at 9q34.11 is associated with HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","119 Japanese ancestry cases, 1,582 Japanese ancestry controls","283 Japanese ancestry cases, 433 Japanese ancestry controls","9q34.11",9,129125837,"CRAT, PPP2R4","PTPA","","","ENSG00000119383",NA,NA,"rs10988217-G","rs10988217",0,10988217,"intron_variant",0,"0.244",8e-09,8.09691001300806,"",2.63,"[1.88-3.69]","Affymetrix [476572]","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST007191","Genome-wide genotyping array"
